Model,Accuracy,Attack Precision,Attack Recall,Attack F1-score
Logistic Regression,0.9310770073992874,0.8697056922986548,0.9191085175068289,0.893724910204944
Random Forest,0.9625729162588577,0.9673426389254675,0.9120933697541594,0.9389059304703476
Isolation Forest,0.44129507105664956,0.09635112323074925,0.09212813508815496,0.09419231989844494
