feature,importance
fwd_pkts_s,0.08103480355875477
bwd_seg_size_avg,0.06738964293471356
fwd_iat_max,0.064363334916225
fwd_iat_tot,0.05469853527503204
flow_pkts_s,0.044814168816816
fwd_header_len,0.04275117214335923
dst_port,0.04128979954667609
fwd_iat_mean,0.03983552747965716
bwd_pkt_len_mean,0.03954861360954935
flow_iat_max,0.03879377065072952
